2017_05_26 09:43:38 INFO    云磁盘data0526094227创建快照成功
2017_05_26 09:43:39 INFO    snapshot name : detached_data0526094227_20170526014316
2017_05_26 09:43:39 INFO    End case:disk data0526094227 create snapshot 

2017_05_26 09:43:39 INFO    Begin case:delete snapshot  detached_data0526094227_20170526014316 
2017_05_26 09:43:44 INFO    云磁盘data0526094234创建快照成功
2017_05_26 09:43:45 INFO    成功删除快照
2017_05_26 09:43:45 INFO    End case: delete snapshot detached_data0526094227_20170526014316

2017_05_26 09:43:45 INFO    Begin case:delete disk data0526094227 
2017_05_26 09:43:45 INFO    snapshot name : detached_data0526094234_20170526014328
2017_05_26 09:43:45 INFO    End case:disk data0526094234 create snapshot 

2017_05_26 09:43:45 INFO    Begin case:delete snapshot  detached_data0526094234_20170526014328 
2017_05_26 09:43:50 INFO    云磁盘data0526094227删除成功
2017_05_26 09:43:50 INFO    End case: delete disk data0526094227

2017_05_26 09:43:52 INFO    成功删除快照
2017_05_26 09:43:52 INFO    End case: delete snapshot detached_data0526094234_20170526014328

2017_05_26 09:43:52 INFO    Begin case:delete disk data0526094234 
2017_05_26 09:43:53 INFO    enter vm management
2017_05_26 09:43:53 INFO    Begin case: delete vm jhzsvmjpimrkcq
2017_05_26 09:43:59 INFO    云磁盘data0526094234删除成功
2017_05_26 09:43:59 INFO    End case: delete disk data0526094234

2017_05_26 09:44:02 INFO    enter vm management
2017_05_26 09:44:02 INFO    Begin case: delete vm oxmnja
2017_05_26 09:44:12 INFO    云主机jhzsvmjpimrkcq删除成功
2017_05_26 09:44:12 INFO    End case: delete vm jhzsvmjpimrkcq

2017_05_26 09:44:21 INFO    云主机oxmnja删除成功
2017_05_26 09:44:21 INFO    End case: delete vm oxmnja

2017_05_26 09:46:38 INFO    Begin case: create vm, name is: ulqlsesexjgwqp.
2017_05_26 09:47:57 INFO    Begin case: create vm, name is: yctebezv.
2017_05_26 09:48:02 INFO    云主机ulqlsesexjgwqp创建成功
2017_05_26 09:48:04 INFO    End case: create vm name: ulqlsesexjgwqp success

2017_05_26 09:48:07 INFO    enter vm management
2017_05_26 09:48:07 INFO    Begin case: stop vm ulqlsesexjgwqp
2017_05_26 09:48:11 INFO    VM ulqlsesexjgwqp is stoping
2017_05_26 09:48:24 INFO    云主机ulqlsesexjgwqp停止成功
2017_05_26 09:48:24 INFO    End case: stop vm ulqlsesexjgwqp

2017_05_26 09:48:24 INFO    Begin case: start vm ulqlsesexjgwqp
2017_05_26 09:48:24 INFO    Begin case: create vm, name is: ljcux.
2017_05_26 09:48:28 INFO    VM ulqlsesexjgwqp is starting!
2017_05_26 09:48:51 INFO    云主机ulqlsesexjgwqp启动成功
2017_05_26 09:48:51 INFO    End case: start vm ulqlsesexjgwqp

2017_05_26 09:48:51 INFO    Begin case: restart vm ulqlsesexjgwqp
2017_05_26 09:48:55 INFO    VM ulqlsesexjgwqp is restarting
2017_05_26 09:49:23 INFO    云主机ulqlsesexjgwqp重启成功
2017_05_26 09:49:23 INFO    End case: restart vm ulqlsesexjgwqp

2017_05_26 09:49:23 INFO    Begin case: security management vm ulqlsesexjgwqp
2017_05_26 09:49:28 INFO    VM ulqlsesexjgwqp 查看密钥
2017_05_26 09:49:31 INFO    End case: security management vm ulqlsesexjgwqp

2017_05_26 09:49:32 INFO    云主机yctebezv创建成功
2017_05_26 09:49:34 INFO    End case: create vm name: yctebezv success

2017_05_26 09:49:34 INFO    Begin case: create disk data0526094934
2017_05_26 09:49:37 INFO    enter vm management
2017_05_26 09:49:37 INFO    Begin case: stop vm yctebezv
2017_05_26 09:49:41 INFO    云磁盘data0526094934创建成功
2017_05_26 09:49:41 INFO    End case: create disk data0526094934

2017_05_26 09:49:41 INFO    Begin case:mount disk data0526094934
2017_05_26 09:49:41 INFO    VM yctebezv is stoping
2017_05_26 09:49:49 INFO    云主机ljcux创建成功
2017_05_26 09:49:50 INFO    End case: create vm name: ljcux success

2017_05_26 09:49:53 INFO    enter vm management
2017_05_26 09:49:53 INFO    Begin case: stop vm ljcux
2017_05_26 09:49:54 INFO    云主机yctebezv停止成功
2017_05_26 09:49:54 INFO    End case: stop vm yctebezv

2017_05_26 09:49:54 INFO    Begin case: start vm yctebezv
2017_05_26 09:49:55 INFO    挂载成功
2017_05_26 09:49:55 INFO    End case:mount disk data0526094934

2017_05_26 09:49:55 INFO    Begin case:unmount disk data0526094934
2017_05_26 09:49:56 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 09:49:59 INFO    enter vm management
2017_05_26 09:49:59 INFO    Begin case: stop vm ulqlsesexjgwqp
2017_05_26 09:50:03 INFO    VM ulqlsesexjgwqp is stoping
2017_05_26 09:50:21 INFO    云主机ulqlsesexjgwqp停止成功
2017_05_26 09:50:21 INFO    End case: stop vm ulqlsesexjgwqp

2017_05_26 09:50:30 INFO    卸载云磁盘成功
2017_05_26 09:50:30 INFO    End case:unmount disk data0526094934

2017_05_26 09:50:30 INFO    Begin case:disk data0526094934 create snapshot 
2017_05_26 09:50:49 INFO    云磁盘data0526094934创建快照成功
2017_05_26 09:50:51 INFO    snapshot name : detached_data0526094934_20170526015033
2017_05_26 09:50:51 INFO    End case:disk data0526094934 create snapshot 

2017_05_26 09:50:51 INFO    Begin case:delete snapshot  detached_data0526094934_20170526015033 
2017_05_26 09:50:57 INFO    成功删除快照
2017_05_26 09:50:57 INFO    End case: delete snapshot detached_data0526094934_20170526015033

2017_05_26 09:50:57 INFO    Begin case:delete disk data0526094934 
2017_05_26 09:51:02 INFO    云磁盘data0526094934删除成功
2017_05_26 09:51:02 INFO    End case: delete disk data0526094934

2017_05_26 09:51:05 INFO    enter vm management
2017_05_26 09:51:05 INFO    Begin case: delete vm ulqlsesexjgwqp
2017_05_26 09:51:24 INFO    云主机ulqlsesexjgwqp删除成功
2017_05_26 09:51:24 INFO    End case: delete vm ulqlsesexjgwqp

2017_05_26 09:51:29 INFO    VM yctebezv is starting!
2017_05_26 09:51:52 INFO    云主机yctebezv启动成功
2017_05_26 09:51:52 INFO    End case: start vm yctebezv

2017_05_26 09:51:52 INFO    Begin case: restart vm yctebezv
2017_05_26 09:51:56 INFO    VM yctebezv is restarting
2017_05_26 09:52:24 INFO    云主机yctebezv重启成功
2017_05_26 09:52:24 INFO    End case: restart vm yctebezv

2017_05_26 09:52:24 INFO    Begin case: security management vm yctebezv
2017_05_26 09:52:28 INFO    VM yctebezv 查看密钥
2017_05_26 09:52:31 INFO    End case: security management vm yctebezv

2017_05_26 09:52:35 INFO    Begin case: create disk data0526095235
2017_05_26 09:52:42 INFO    云磁盘data0526095235创建成功
2017_05_26 09:52:42 INFO    End case: create disk data0526095235

2017_05_26 09:52:42 INFO    Begin case:mount disk data0526095235
2017_05_26 09:52:56 INFO    挂载成功
2017_05_26 09:52:56 INFO    End case:mount disk data0526095235

2017_05_26 09:52:56 INFO    Begin case:unmount disk data0526095235
2017_05_26 09:52:56 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 09:53:00 INFO    enter vm management
2017_05_26 09:53:00 INFO    Begin case: stop vm yctebezv
2017_05_26 09:53:04 INFO    VM yctebezv is stoping
2017_05_26 09:53:22 INFO    云主机yctebezv停止成功
2017_05_26 09:53:22 INFO    End case: stop vm yctebezv

2017_05_26 09:53:31 INFO    卸载云磁盘成功
2017_05_26 09:53:31 INFO    End case:unmount disk data0526095235

2017_05_26 09:53:31 INFO    Begin case:disk data0526095235 create snapshot 
2017_05_26 09:53:55 INFO    云磁盘data0526095235创建快照成功
2017_05_26 09:53:56 INFO    snapshot name : detached_data0526095235_20170526015334
2017_05_26 09:53:56 INFO    End case:disk data0526095235 create snapshot 

2017_05_26 09:53:56 INFO    Begin case:delete snapshot  detached_data0526095235_20170526015334 
2017_05_26 09:54:03 INFO    成功删除快照
2017_05_26 09:54:03 INFO    End case: delete snapshot detached_data0526095235_20170526015334

2017_05_26 09:54:03 INFO    Begin case:delete disk data0526095235 
2017_05_26 09:54:08 INFO    云磁盘data0526095235删除成功
2017_05_26 09:54:08 INFO    End case: delete disk data0526095235

2017_05_26 09:54:11 INFO    enter vm management
2017_05_26 09:54:11 INFO    Begin case: delete vm yctebezv
2017_05_26 09:54:29 INFO    云主机yctebezv删除成功
2017_05_26 09:54:29 INFO    End case: delete vm yctebezv

2017_05_26 09:58:19 INFO    Begin case: create vm, name is: uqbzkxvxtiuntk.
2017_05_26 09:58:30 INFO    Begin case: create vm, name is: qwmznhoyis.
2017_05_26 09:58:35 INFO    Begin case: create vm, name is: sausyihkussdmjkhs.
2017_05_26 09:59:44 INFO    云主机uqbzkxvxtiuntk创建成功
2017_05_26 09:59:45 INFO    End case: create vm name: uqbzkxvxtiuntk success

2017_05_26 09:59:45 INFO    enter vm management
2017_05_26 09:59:45 INFO    Begin case: stop vm uqbzkxvxtiuntk
2017_05_26 09:59:58 INFO    云主机sausyihkussdmjkhs创建成功
2017_05_26 09:59:59 INFO    云主机qwmznhoyis创建成功
2017_05_26 10:00:01 INFO    End case: create vm name: qwmznhoyis success

2017_05_26 10:00:01 INFO    enter vm management
2017_05_26 10:00:01 INFO    Begin case: stop vm qwmznhoyis
2017_05_26 10:00:02 INFO    VM qwmznhoyis is stoping
2017_05_26 10:00:20 INFO    云主机qwmznhoyis停止成功
2017_05_26 10:00:20 INFO    End case: stop vm qwmznhoyis

2017_05_26 10:00:20 INFO    Begin case: start vm qwmznhoyis
2017_05_26 10:00:22 INFO    VM qwmznhoyis is starting!
2017_05_26 10:00:45 INFO    云主机qwmznhoyis启动成功
2017_05_26 10:00:45 INFO    End case: start vm qwmznhoyis

2017_05_26 10:00:45 INFO    Begin case: restart vm qwmznhoyis
2017_05_26 10:00:46 INFO    VM qwmznhoyis is restarting
2017_05_26 10:00:48 INFO    VM uqbzkxvxtiuntk is stoping
2017_05_26 10:01:01 INFO    云主机uqbzkxvxtiuntk停止成功
2017_05_26 10:01:01 INFO    End case: stop vm uqbzkxvxtiuntk

2017_05_26 10:01:01 INFO    Begin case: start vm uqbzkxvxtiuntk
2017_05_26 10:01:02 INFO    End case: create vm name: sausyihkussdmjkhs success

2017_05_26 10:01:02 INFO    VM uqbzkxvxtiuntk is starting!
2017_05_26 10:01:02 INFO    enter vm management
2017_05_26 10:01:02 INFO    Begin case: stop vm sausyihkussdmjkhs
2017_05_26 10:01:14 INFO    云主机qwmznhoyis重启成功
2017_05_26 10:01:14 INFO    End case: restart vm qwmznhoyis

2017_05_26 10:01:14 INFO    Begin case: security management vm qwmznhoyis
2017_05_26 10:01:16 INFO    VM qwmznhoyis 查看密钥
2017_05_26 10:01:16 INFO    End case: security management vm qwmznhoyis

2017_05_26 10:01:19 INFO    Begin case: create disk data0526100119
2017_05_26 10:01:27 INFO    云磁盘data0526100119创建成功
2017_05_26 10:01:27 INFO    End case: create disk data0526100119

2017_05_26 10:01:27 INFO    Begin case:mount disk data0526100119
2017_05_26 10:01:30 INFO    云主机uqbzkxvxtiuntk启动成功
2017_05_26 10:01:30 INFO    End case: start vm uqbzkxvxtiuntk

2017_05_26 10:01:30 INFO    Begin case: restart vm uqbzkxvxtiuntk
2017_05_26 10:01:32 INFO    VM uqbzkxvxtiuntk is restarting
2017_05_26 10:01:40 INFO    挂载成功
2017_05_26 10:01:41 INFO    End case:mount disk data0526100119

2017_05_26 10:01:41 INFO    Begin case:unmount disk data0526100119
2017_05_26 10:01:41 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 10:01:41 INFO    enter vm management
2017_05_26 10:01:41 INFO    Begin case: stop vm qwmznhoyis
2017_05_26 10:01:44 INFO    VM qwmznhoyis is stoping
2017_05_26 10:01:55 INFO    云主机uqbzkxvxtiuntk重启成功
2017_05_26 10:01:55 INFO    End case: restart vm uqbzkxvxtiuntk

2017_05_26 10:01:55 INFO    Begin case: security management vm uqbzkxvxtiuntk
2017_05_26 10:01:56 INFO    VM uqbzkxvxtiuntk 查看密钥
2017_05_26 10:01:56 INFO    End case: security management vm uqbzkxvxtiuntk

2017_05_26 10:02:00 INFO    Begin case: create disk data0526100200
2017_05_26 10:02:02 INFO    云主机qwmznhoyis停止成功
2017_05_26 10:02:02 INFO    End case: stop vm qwmznhoyis

2017_05_26 10:02:07 INFO    云磁盘data0526100200创建成功
2017_05_26 10:02:07 INFO    End case: create disk data0526100200

2017_05_26 10:02:07 INFO    Begin case:mount disk data0526100200
2017_05_26 10:02:11 INFO    卸载云磁盘成功
2017_05_26 10:02:11 INFO    End case:unmount disk data0526100119

2017_05_26 10:02:11 INFO    Begin case:disk data0526100119 create snapshot 
2017_05_26 10:02:18 INFO    挂载成功
2017_05_26 10:02:18 INFO    End case:mount disk data0526100200

2017_05_26 10:02:18 INFO    Begin case:unmount disk data0526100200
2017_05_26 10:02:18 WARNING VM status is 运行,can not create snapshot,so stop vm first!
2017_05_26 10:02:18 INFO    enter vm management
2017_05_26 10:02:18 INFO    Begin case: stop vm uqbzkxvxtiuntk
2017_05_26 10:02:21 INFO    VM uqbzkxvxtiuntk is stoping
2017_05_26 10:02:33 INFO    云主机uqbzkxvxtiuntk停止成功
2017_05_26 10:02:33 INFO    End case: stop vm uqbzkxvxtiuntk

2017_05_26 10:02:42 INFO    卸载云磁盘成功
2017_05_26 10:02:42 INFO    End case:unmount disk data0526100200

2017_05_26 10:02:42 INFO    Begin case:disk data0526100200 create snapshot 
2017_05_26 10:03:01 INFO    云磁盘data0526100200创建快照成功
2017_05_26 10:03:02 INFO    snapshot name : detached_data0526100200_20170526020245
2017_05_26 10:03:02 INFO    End case:disk data0526100200 create snapshot 

2017_05_26 10:03:02 INFO    Begin case:delete snapshot  detached_data0526100200_20170526020245 
2017_05_26 10:03:09 INFO    成功删除快照
2017_05_26 10:03:09 INFO    End case: delete snapshot detached_data0526100200_20170526020245

2017_05_26 10:03:09 INFO    Begin case:delete disk data0526100200 
2017_05_26 10:03:13 INFO    云磁盘data0526100200删除成功
2017_05_26 10:03:13 INFO    End case: delete disk data0526100200

2017_05_26 10:03:14 INFO    enter vm management
2017_05_26 10:03:14 INFO    Begin case: delete vm uqbzkxvxtiuntk
2017_05_26 10:03:27 INFO    云主机uqbzkxvxtiuntk删除成功
2017_05_26 10:03:27 INFO    End case: delete vm uqbzkxvxtiuntk

2017_05_26 10:03:30 INFO    云磁盘data0526100119创建快照成功
2017_05_26 10:03:32 INFO    snapshot name : detached_data0526100119_20170526020314
2017_05_26 10:03:32 INFO    End case:disk data0526100119 create snapshot 

2017_05_26 10:03:32 INFO    Begin case:delete snapshot  detached_data0526100119_20170526020314 
2017_05_26 10:03:38 INFO    成功删除快照
2017_05_26 10:03:38 INFO    End case: delete snapshot detached_data0526100119_20170526020314

2017_05_26 10:03:38 INFO    Begin case:delete disk data0526100119 
2017_05_26 10:03:43 INFO    云磁盘data0526100119删除成功
2017_05_26 10:03:43 INFO    End case: delete disk data0526100119

2017_05_26 10:03:43 INFO    enter vm management
2017_05_26 10:03:43 INFO    Begin case: delete vm qwmznhoyis
2017_05_26 10:03:56 INFO    云主机qwmznhoyis删除成功
2017_05_26 10:03:56 INFO    End case: delete vm qwmznhoyis

2017_05_26 10:10:46 INFO    Begin case: create vm, name is: dyoiraj.
2017_05_26 10:11:22 INFO    Begin case: create vm, name is: xpztouysbjnwpyh.
2017_05_26 10:11:56 INFO    Begin case: create vm, name is: ljdognxlx.
2017_05_26 10:12:11 INFO    云主机dyoiraj创建成功
